point_id,mean,min,max,std,status,total_non_crop,max_consecutive_non_crop,total_peaks,geo
1,0.375,0.0155,0.7996,0.1058,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.76046674115366,30.030556651726766]}"
2,0.5108,0.12,0.9908,0.1607,DISCARDED (Failed Phenology),5.0,3.0,18.0,"{""type"":""Point"",""coordinates"":[80.60233480354127,29.95658544093709]}"
3,0.5468,0.2952,0.8785,0.1024,DISCARDED (Static Vegetation / Low Amplitude),3.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[80.65252980650226,29.948095190692346]}"
4,0.4563,0.2024,0.8936,0.0942,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.59762010992817,29.928070116122583]}"
5,0.594,0.3095,0.9186,0.0863,DISCARDED (Static Vegetation / Low Amplitude),4.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[80.66792937516786,29.924955186356794]}"
6,0.4717,0.1954,0.9214,0.152,DISCARDED (Failed Phenology),4.0,3.0,21.0,"{""type"":""Point"",""coordinates"":[80.57807763348198,29.91223197688871]}"
7,0.3883,0.1104,0.82,0.0711,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.87108523324754,29.96626725625508]}"
8,0.5585,0.2514,0.9482,0.1232,DISCARDED (Static Vegetation / Low Amplitude),3.0,2.0,27.0,"{""type"":""Point"",""coordinates"":[80.59943702105757,29.899462484590433]}"
9,0.5642,0.3114,0.9173,0.1306,DISCARDED (Static Vegetation / Low Amplitude),4.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[80.6282297121558,29.89371251426264]}"
10,0.5246,0.178,0.8385,0.0452,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.84888613639478,29.94218301982773]}"
11,0.4372,0.1561,0.8817,0.1541,STABLE CROPLAND,2.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.5837780144959,29.87621444311198]}"
12,0.4304,0.1451,0.8481,0.0628,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.86622990481807,29.93114395293358]}"
13,0.4757,0.2143,0.8609,0.077,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.56449108117694,29.863183362629993]}"
14,0.5167,0.1037,0.9016,0.0884,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[81.8772488142732,29.915769834167754]}"
15,0.4672,0.1313,0.8531,0.0669,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.86369682813141,29.892896980126103]}"
16,0.3871,0.1186,0.8206,0.0657,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.86640221434511,29.8746907292431]}"
17,0.5571,0.257,0.8714,0.0771,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.4353309959024,29.802762445955747]}"
18,0.4833,0.1323,0.887,0.0679,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.8803484646874,29.857990360340516]}"
19,0.564,0.2491,0.8797,0.0648,STABLE CROPLAND,1.0,1.0,28.0,"{""type"":""Point"",""coordinates"":[80.48317693749249,29.792245339970545]}"
20,0.5176,0.3162,0.8025,0.0569,DISCARDED (Static Vegetation / Low Amplitude),0.0,0.0,24.0,"{""type"":""Point"",""coordinates"":[80.62500771664925,29.797310510556134]}"
21,0.548,0.2626,0.9031,0.1264,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[80.77531248127076,29.799161503646044]}"
22,0.5256,0.2866,0.8676,0.1131,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.64754464316097,29.784506759702065]}"
23,0.5286,0.2909,0.8697,0.1239,DISCARDED (Static Vegetation / Low Amplitude),7.0,2.0,17.0,"{""type"":""Point"",""coordinates"":[80.87282200962835,29.793104340740985]}"
24,0.4906,0.166,0.8729,0.0545,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.88005791982592,29.836099385961184]}"
25,0.4975,0.161,0.8898,0.0662,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.95980937170835,29.83455627633524]}"
26,0.4195,0.2007,0.7494,0.0979,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.69149347425792,29.767482659417308]}"
27,0.4047,0.1489,0.8575,0.0934,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.85417233151756,29.813850832251166]}"
28,0.5354,0.2042,0.8491,0.097,DISCARDED (Failed Phenology),4.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.48061420885236,29.7418504865812]}"
29,0.5496,0.3533,0.8493,0.1102,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.84090811913815,29.755672387765383]}"
30,0.4724,0.1887,0.8539,0.0939,STABLE CROPLAND,3.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[80.69161762414569,29.746788595654603]}"
31,0.5517,0.2135,0.8897,0.0826,DISCARDED (Failed Phenology),7.0,3.0,18.0,"{""type"":""Point"",""coordinates"":[80.79671294128515,29.75117425265192]}"
32,0.5276,0.218,0.8888,0.1105,STABLE CROPLAND,3.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.75576035980697,29.746560558868588]}"
33,0.4224,0.1671,0.8585,0.0714,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.90734143733243,29.794469608498975]}"
34,0.5408,0.2495,0.8571,0.0592,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.6153137114556,29.730694941003506]}"
35,0.4023,0.1274,0.8088,0.0725,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.94880506298074,29.786827592939236]}"
36,0.51,0.1272,0.9505,0.0716,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.01237364084109,29.789001185409624]}"
37,0.4178,0.1889,0.8155,0.0862,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.71933646994825,29.73132427950093]}"
38,0.5686,0.2532,0.9072,0.0737,DISCARDED (Static Vegetation / Low Amplitude),3.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.84211695012193,29.733882396309088]}"
39,0.3998,0.1022,0.7385,0.0604,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.92783426890493,29.77662934063584]}"
40,0.4748,0.1855,0.8626,0.126,DISCARDED (Failed Phenology),7.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[80.46641248679975,29.7101419981422]}"
41,0.4569,0.2158,0.8573,0.0767,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.60383868991165,29.71492424654884]}"
42,0.4395,0.229,0.7674,0.0568,DISCARDED (Static Vegetation / Low Amplitude),0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.5556097193608,29.71020035704953]}"
43,0.5088,0.1845,0.883,0.0821,DISCARDED (Failed Phenology),4.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[80.41883444653386,29.703056443456312]}"
44,0.4415,0.1854,0.8633,0.0631,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.97722709599795,29.771660844975084]}"
45,0.5737,0.1985,0.9221,0.0456,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.08887279071233,29.77417863354431]}"
46,0.4159,0.1352,0.8283,0.1333,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.64898704389599,29.708920658181793]}"
47,0.4212,0.1679,0.8093,0.1262,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.53076003601053,29.700745094261492]}"
48,0.4624,0.1565,0.919,0.0656,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.0178012981567,29.767225897464368]}"
49,0.5191,0.2202,0.8971,0.0747,STABLE CROPLAND,0.0,0.0,35.0,"{""type"":""Point"",""coordinates"":[80.38402913352336,29.68951913258666]}"
50,0.4999,0.2401,0.8327,0.1019,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.57277719165428,29.69379251935166]}"
51,0.4426,0.1721,0.8544,0.1231,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.43368410495526,29.682651185798417]}"
52,0.4464,0.2176,0.8209,0.0977,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.61724786031762,29.690905555458876]}"
53,0.364,0.1591,0.7241,0.0593,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.03633424859375,29.751640053338168]}"
54,0.4595,0.213,0.857,0.1133,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.50923323985532,29.684416415734454]}"
55,0.4456,0.2383,0.8131,0.0546,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.06245631653064,29.747173755812515]}"
56,0.4343,0.1907,0.9358,0.0989,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.0869306684734,29.748601193191245]}"
57,0.5264,0.2284,0.9154,0.1025,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.5864207770226,29.674893020896857]}"
58,0.548,0.2329,0.8622,0.0596,DISCARDED (Failed Phenology),4.0,1.0,29.0,"{""type"":""Point"",""coordinates"":[80.55779291424807,29.671734744578607]}"
59,0.5574,0.232,0.903,0.0593,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.40009387863623,29.659611323448928]}"
60,0.5206,0.1988,0.895,0.0901,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.83586846067566,29.72333010796873]}"
61,0.5097,0.2637,0.8778,0.0894,DISCARDED (Static Vegetation / Low Amplitude),0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.51410544411416,29.663807927145356]}"
62,0.5354,0.2407,0.8561,0.0726,DISCARDED (Failed Phenology),5.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.53471813093391,29.665506918576572]}"
63,0.5091,0.1694,0.9298,0.1309,DISCARDED (Failed Phenology),4.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[81.71029989382069,29.713835200276357]}"
64,0.4395,0.1202,0.8825,0.0714,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.09541709035575,29.719378195644968]}"
65,0.4068,0.1853,0.7959,0.0992,STABLE CROPLAND,1.0,1.0,29.0,"{""type"":""Point"",""coordinates"":[80.57410152756012,29.653113919042752]}"
66,0.5061,0.2152,0.8785,0.0951,STABLE CROPLAND,1.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[80.61021652736993,29.65399598262772]}"
67,0.5112,0.1861,0.8577,0.0841,STABLE CROPLAND,2.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.41745653075826,29.644007911149473]}"
68,0.5444,0.2307,0.8932,0.092,STABLE CROPLAND,1.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[80.47649203454463,29.645504933990978]}"
69,0.3318,0.141,0.719,0.0857,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.99516723964216,29.71242949271816]}"
70,0.4721,0.1721,0.8737,0.0749,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.83732301386956,29.702867030230504]}"
71,0.5587,0.2376,0.8924,0.0726,STABLE CROPLAND,3.0,1.0,27.0,"{""type"":""Point"",""coordinates"":[80.51045037098768,29.639998426744793]}"
72,0.4286,0.1723,0.817,0.0918,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.55332932667737,29.64385813022163]}"
73,0.4518,0.182,0.8989,0.0937,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.97527243539936,29.702401148014154]}"
74,0.4775,0.1791,0.8582,0.0482,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.0212541159449,29.70237144971378]}"
75,0.5149,0.2428,0.8541,0.0904,DISCARDED (Failed Phenology),5.0,2.0,26.0,"{""type"":""Point"",""coordinates"":[80.82251688734947,29.65063754460435]}"
76,0.5614,0.3025,0.8711,0.0889,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.64039420635056,29.64091694533023]}"
77,0.6032,0.2727,0.8863,0.0528,DISCARDED (Static Vegetation / Low Amplitude),10.0,1.0,13.0,"{""type"":""Point"",""coordinates"":[81.64507033022407,29.685289511695462]}"
78,0.4738,0.2069,0.8669,0.1309,DISCARDED (Failed Phenology),4.0,2.0,23.0,"{""type"":""Point"",""coordinates"":[81.69640333525821,29.682514738865347]}"
79,0.4111,0.2335,0.7384,0.1048,DISCARDED (Static Vegetation / Low Amplitude),6.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[80.71797448270635,29.637457343135384]}"
80,0.4944,0.1834,0.8402,0.1264,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.52703673014095,29.626233423827287]}"
81,0.2999,0.1199,0.6509,0.1011,DISCARDED (Static Vegetation / Low Amplitude),4.0,3.0,19.0,"{""type"":""Point"",""coordinates"":[81.92755594008173,29.685152995153032]}"
82,0.2829,0.1217,0.5978,0.1059,DISCARDED (Static Vegetation / Low Amplitude),5.0,3.0,18.0,"{""type"":""Point"",""coordinates"":[81.9511246664138,29.68331485258453]}"
83,0.5258,0.2411,0.8801,0.0837,STABLE CROPLAND,2.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[81.8528137967947,29.679115547611993]}"
84,0.4852,0.1707,0.8946,0.1076,STABLE CROPLAND,2.0,2.0,26.0,"{""type"":""Point"",""coordinates"":[80.4789961209065,29.618021219910684]}"
85,0.5668,0.1759,0.8979,0.0436,DISCARDED (Failed Phenology),6.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[80.5555945794798,29.616341286911304]}"
86,0.5245,0.2406,0.8769,0.0719,DISCARDED (Failed Phenology),6.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[80.63467518540602,29.620005189926374]}"
87,0.472,0.2162,0.8427,0.1028,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.91136442567962,29.63325940353643]}"
88,0.471,0.1923,0.8499,0.0868,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.67037554302185,29.664941878876817]}"
89,0.4481,0.1968,0.8192,0.0664,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.75721942830292,29.666104159485894]}"
90,0.5083,0.2289,0.871,0.1049,DISCARDED (Failed Phenology),5.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[80.95578590891033,29.628852742047457]}"
91,0.482,0.2339,0.8974,0.102,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[81.78901988257489,29.664750982937463]}"
92,0.4691,0.2508,0.8119,0.0823,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,29.0,"{""type"":""Point"",""coordinates"":[80.74363123480835,29.618295636352446]}"
93,0.5351,0.2128,0.8787,0.1087,DISCARDED (Failed Phenology),6.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[81.69832847474322,29.660809312920634]}"
94,0.4839,0.2002,0.8734,0.1028,STABLE CROPLAND,2.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[80.51131721282141,29.605641146566402]}"
95,0.5008,0.2,0.894,0.0997,STABLE CROPLAND,3.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[80.69812150894886,29.615320353157472]}"
96,0.4974,0.1608,0.8959,0.0753,STABLE CROPLAND,3.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[80.41034378234512,29.600349593903204]}"
97,0.4889,0.1415,0.8817,0.0948,DISCARDED (Failed Phenology),3.0,3.0,26.0,"{""type"":""Point"",""coordinates"":[81.90921166966025,29.665357087727337]}"
98,0.3775,0.136,0.8191,0.1063,STABLE CROPLAND,0.0,0.0,26.0,"{""type"":""Point"",""coordinates"":[81.86099329647702,29.659968574677556]}"
99,0.5138,0.3084,0.8267,0.0992,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.82672413105698,29.61482907533712]}"
100,0.4702,0.2155,0.7763,0.0791,DISCARDED (Failed Phenology),5.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[81.11085696307184,29.625153616733904]}"
101,0.481,0.2432,0.8315,0.0984,DISCARDED (Failed Phenology),3.0,3.0,23.0,"{""type"":""Point"",""coordinates"":[80.86385255451901,29.614217428143903]}"
102,0.5251,0.2989,0.8458,0.0992,DISCARDED (Static Vegetation / Low Amplitude),4.0,3.0,19.0,"{""type"":""Point"",""coordinates"":[80.80245502116867,29.608320127897922]}"
103,0.5314,0.3337,0.8369,0.0797,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.91203151122002,29.613139707240578]}"
104,0.535,0.2869,0.8836,0.0732,DISCARDED (Static Vegetation / Low Amplitude),0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.66879891875364,29.6446159174798]}"
105,0.4948,0.1679,0.8378,0.0774,DISCARDED (Failed Phenology),6.0,3.0,22.0,"{""type"":""Point"",""coordinates"":[80.65479684470105,29.601890534362308]}"
106,0.5457,0.2648,0.9239,0.1076,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.55632963057333,29.593706318715554]}"
107,0.5183,0.2251,0.8191,0.0736,DISCARDED (Failed Phenology),6.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[81.13046599652473,29.619118438456994]}"
108,0.3972,0.1416,0.8345,0.078,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.93270712224708,29.65031197496355]}"
109,0.474,0.2319,0.884,0.1269,STABLE CROPLAND,0.0,0.0,27.0,"{""type"":""Point"",""coordinates"":[80.68976456991648,29.596360901723735]}"
110,0.4717,0.2501,0.8604,0.1049,DISCARDED (Static Vegetation / Low Amplitude),0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.29206790780606,29.621439476275658]}"
111,0.4608,0.1929,0.8305,0.0976,DISCARDED (Failed Phenology),5.0,2.0,25.0,"{""type"":""Point"",""coordinates"":[80.61195238712077,29.589801434245704]}"
112,0.5056,0.2808,0.9011,0.1076,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[81.76991755606336,29.638783809177433]}"
113,0.4468,0.1991,0.8474,0.1023,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[80.89709710620117,29.60040832491307]}"
114,0.4262,0.1789,0.8296,0.1154,STABLE CROPLAND,1.0,1.0,27.0,"{""type"":""Point"",""coordinates"":[81.25102832571802,29.617101158081997]}"
115,0.3837,0.1412,0.8215,0.1149,STABLE CROPLAND,0.0,0.0,25.0,"{""type"":""Point"",""coordinates"":[81.86013691446492,29.64141329875053]}"
116,0.4724,0.1854,0.8159,0.0795,STABLE CROPLAND,3.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[80.87264987137871,29.597124669913427]}"
117,0.5191,0.1833,0.881,0.0791,STABLE CROPLAND,3.0,2.0,26.0,"{""type"":""Point"",""coordinates"":[80.50342031883962,29.579002491028945]}"
118,0.4786,0.1637,0.8556,0.0724,DISCARDED (Failed Phenology),5.0,2.0,26.0,"{""type"":""Point"",""coordinates"":[81.27639224386309,29.609541572181044]}"
119,0.4419,0.1909,0.8289,0.1067,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.33291629725768,29.61150640198676]}"
120,0.4269,0.2394,0.7836,0.1034,DISCARDED (Static Vegetation / Low Amplitude),5.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[80.73589021727682,29.584561991316992]}"
121,0.5161,0.2599,0.7947,0.0796,DISCARDED (Static Vegetation / Low Amplitude),5.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[81.15131862003354,29.59837299945271]}"
122,0.3671,0.1321,0.803,0.1013,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.9807813243271,29.63023247477745]}"
123,0.276,0.1404,0.603,0.0811,DISCARDED (Static Vegetation / Low Amplitude),3.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[81.84897157493903,29.62513499357796]}"
124,0.4564,0.2198,0.8818,0.1253,STABLE CROPLAND,3.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[81.23314112761672,29.597921891790296]}"
125,0.4752,0.2392,0.8296,0.0899,STABLE CROPLAND,0.0,0.0,24.0,"{""type"":""Point"",""coordinates"":[81.30625867223924,29.600874708233828]}"
126,0.492,0.302,0.7758,0.0767,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[80.80078213738798,29.575538158685813]}"
127,0.3895,0.1399,0.804,0.1148,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.74258079797137,29.615312919741584]}"
128,0.3663,0.1495,0.7982,0.1151,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.96062753418842,29.623475186048818]}"
129,0.5761,0.3262,0.9093,0.0803,DISCARDED (Static Vegetation / Low Amplitude),5.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[80.76110368756005,29.570296080548022]}"
130,0.439,0.2055,0.8613,0.1049,STABLE CROPLAND,1.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[80.87116334338165,29.577482359245316]}"
131,0.3732,0.172,0.7616,0.0993,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.7700982489879,29.61158442512232]}"
132,0.485,0.21,0.8271,0.099,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[81.70311686490753,29.608879926680405]}"
133,0.5428,0.2673,0.8798,0.0909,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[81.32525406984477,29.59105106318705]}"
134,0.5578,0.2412,0.8459,0.0495,DISCARDED (Failed Phenology),4.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[81.26373870263743,29.588514663330365]}"
135,0.2836,0.1283,0.5735,0.0689,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.88630575143337,29.613694078465432]}"
136,0.4791,0.2785,0.8137,0.1066,DISCARDED (Static Vegetation / Low Amplitude),5.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[81.35735556854317,29.59256245605777]}"
137,0.4465,0.2139,0.8355,0.0963,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[80.35040964897429,29.542528121871403]}"
138,0.4888,0.1925,0.9138,0.1232,STABLE CROPLAND,2.0,2.0,27.0,"{""type"":""Point"",""coordinates"":[80.42567662539686,29.546566926644388]}"
139,0.3313,0.1322,0.6945,0.0798,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.79229891218328,29.60338949080928]}"
140,0.4831,0.2126,0.8614,0.1049,STABLE CROPLAND,1.0,1.0,27.0,"{""type"":""Point"",""coordinates"":[80.39119273675958,29.54137072564405]}"
141,0.5274,0.2431,0.872,0.0754,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.86106157999772,29.604235317546426]}"
142,0.3561,0.1152,0.7319,0.0793,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.04941415996346,29.610743349676124]}"
143,0.5141,0.1756,0.8798,0.104,STABLE CROPLAND,3.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[81.29199604094003,29.580084693840313]}"
144,0.5394,0.3429,0.8647,0.0969,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.01835936563162,29.566131728808216]}"
145,0.3774,0.1462,0.786,0.0943,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.9598526306805,29.603925155874013]}"
146,0.4501,0.2005,0.8702,0.0744,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.98416673875948,29.602966342454064]}"
147,0.437,0.2054,0.8,0.1126,STABLE CROPLAND,2.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[80.87933721069815,29.559792572186936]}"
148,0.5152,0.2102,0.8087,0.0792,STABLE CROPLAND,1.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[81.72782126237863,29.59080114850926]}"
149,0.3728,0.164,0.7431,0.0634,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.0975303321971,29.603765525461206]}"
150,0.3079,0.1221,0.7333,0.1158,STABLE CROPLAND,3.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[82.02795499920943,29.598340553269573]}"
151,0.3611,0.1666,0.7322,0.0963,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.76492979823826,29.587807999446927]}"
152,0.4402,0.2096,0.8478,0.0999,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[81.21363798893339,29.56376868862905]}"
153,0.457,0.1555,0.9054,0.0775,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.14252892071005,29.59895365463429]}"
154,0.4945,0.1446,0.8401,0.0636,DISCARDED (Failed Phenology),6.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.18477838530126,29.55840678140693]}"
155,0.491,0.1475,0.8594,0.0747,STABLE CROPLAND,3.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.07238238203475,29.59366996311566]}"
156,0.4398,0.1853,0.8425,0.1121,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[82.00529135460967,29.590239705069607]}"
157,0.5187,0.2364,0.8525,0.0865,STABLE CROPLAND,3.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[81.01157010282085,29.548571693291372]}"
158,0.4201,0.1816,0.7835,0.1106,STABLE CROPLAND,0.0,0.0,30.0,"{""type"":""Point"",""coordinates"":[80.40121611472381,29.51818149931134]}"
159,0.4947,0.2293,0.8196,0.0898,STABLE CROPLAND,1.0,1.0,28.0,"{""type"":""Point"",""coordinates"":[81.04631435448165,29.547511906097885]}"
160,0.4097,0.1812,0.8438,0.1422,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[81.2527471694957,29.55567780564773]}"
161,0.5309,0.3033,0.8669,0.1041,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[81.15390317232504,29.551202828182944]}"
162,0.5349,0.2361,0.8448,0.0679,DISCARDED (Failed Phenology),7.0,3.0,22.0,"{""type"":""Point"",""coordinates"":[80.56229590344107,29.522492337358866]}"
